,precision,recall,f1-score,support
Mudstone,0.88,0.7333333333333333,0.8,120.0
Wackestone,0.7272727272727273,0.6666666666666666,0.6956521739130435,120.0
Floatstone,0.8290598290598291,0.8083333333333333,0.8185654008438819,120.0
Intraclast,0.837037037037037,0.9416666666666667,0.8862745098039215,120.0
Packstone,0.6028368794326241,0.7083333333333334,0.6513409961685823,120.0
Grainstone,0.8888888888888888,0.8666666666666667,0.8776371308016878,120.0
accuracy,0.7875,0.7875,0.7875,0.7875
macro avg,0.794182560281851,0.7875,0.7882450352551862,720.0
weighted avg,0.7941825602818511,0.7875,0.7882450352551861,720.0
