,precision,recall,f1-score,support
Mudstone,0.911504424778761,0.8583333333333333,0.8841201716738197,120.0
Wackestone,0.8918918918918919,0.825,0.8571428571428571,120.0
Floatstone,0.975,0.975,0.975,120.0
Intraclast,0.9448818897637795,1.0,0.97165991902834,120.0
Packstone,0.7878787878787878,0.8666666666666667,0.8253968253968254,120.0
Grainstone,0.9658119658119658,0.9416666666666667,0.9535864978902954,120.0
accuracy,0.9111111111111111,0.9111111111111111,0.9111111111111111,0.9111111111111111
macro avg,0.9128281600208644,0.9111111111111111,0.9111510451886896,720.0
weighted avg,0.9128281600208644,0.9111111111111111,0.9111510451886896,720.0
